,title,user_id,item_id,rating,timestamp,Rating Count
71,Black Sheep (1996),303,369,1,879544130,55
72,Blade Runner (1982),307,89,5,879283786,275
73,"Blues Brothers, The (1980)",13,186,4,890704999,251
74,Bob Roberts (1992),305,425,4,886324486,85
75,Body Snatchers (1993),38,573,1,892433660,69
76,Bonnie and Clyde (1967),269,504,4,891449922,122
77,Boogie Nights (1997),261,340,5,890454045,189
78,"Boot, Das (1981)",292,515,4,881103977,201
79,Bound (1996),21,129,4,874951382,129
80,"Brady Bunch Movie, The (1995)",301,401,4,882078040,76
81,Bram Stoker's Dracula (1992),269,217,2,891451610,120
82,Braveheart (1995),269,22,1,891448072,297
83,Brazil (1985),10,175,3,877888677,208
84,Breakdown (1997),308,295,3,887741461,77
85,Breakfast at Tiffany's (1961),214,131,3,891544465,95
86,Breaking the Waves (1996),199,221,4,883782854,74
87,"Bridge on the River Kwai, The (1957)",271,199,4,885848448,165
88,"Bridges of Madison County, The (1995)",128,371,1,879966954,67
89,Bringing Up Baby (1938),7,497,4,891352134,68
90,Broken Arrow (1996),95,546,2,879196566,254
91,"Brothers McMullen, The (1995)",138,26,5,879024232,73
92,Bullets Over Broadway (1994),94,792,4,885873006,86
93,Butch Cassidy and the Sundance Kid (1969),19,435,5,885412840,216
94,"Cable Guy, The (1996)",279,122,1,875297433,106
95,Candyman (1992),268,672,2,875744501,65
96,Cape Fear (1962),200,673,5,884128554,86
97,Cape Fear (1991),295,218,5,879966498,171
98,Carlito's Way (1993),276,76,4,874791506,54
99,Carrie (1976),21,447,5,874951695,121
100,Casablanca (1942),232,483,5,888549622,243
101,Casino (1995),303,693,4,879466771,91
102,Casper (1995),102,768,2,883748450,52
103,Cat on a Hot Tin Roof (1958),90,499,5,891383866,62
104,"Celluloid Closet, The (1995)",264,813,4,886122952,56
105,Chain Reaction (1996),26,930,2,891385985,80
106,Chasing Amy (1997),50,246,3,877052329,379
107,Chinatown (1974),305,654,4,886323937,147
108,"Christmas Carol, A (1938)",7,633,5,891351509,69
109,Cinderella (1950),13,418,2,882398763,129
110,Cinema Paradiso (1988),59,170,4,888204430,121
111,Circle of Friends (1995),222,724,3,878181976,76
112,Citizen Kane (1941),303,134,5,879467959,198
113,City Hall (1996),181,696,2,878962997,79
114,"City of Lost Children, The (1995)",246,919,4,884920949,96
115,Clear and Present Danger (1994),186,566,5,879023663,179
116,Clerks (1994),214,42,5,892668130,148
117,"Client, The (1994)",318,356,4,884496671,97
118,Cliffhanger (1993),83,576,4,880308755,93
119,"Clockwork Orange, A (1971)",311,179,2,884365357,221
120,"Close Shave, A (1995)",148,408,5,877399018,112
121,Clueless (1995),269,367,3,891450023,170
122,Cold Comfort Farm (1995),310,116,5,879436104,125
123,Con Air (1997),87,1016,4,879876194,137
124,Conan the Barbarian (1981),72,679,2,880037164,107
125,Conspiracy Theory (1997),166,328,5,886397722,295
126,Contact (1997),26,258,3,891347949,509
127,"Cook the Thief His Wife & Her Lover, The (1989)",308,640,4,887737036,82
128,Cool Hand Luke (1967),301,523,4,882076146,164
129,Cool Runnings (1993),268,1035,2,875542174,68
130,Cop Land (1997),287,327,5,875333916,175
131,Copycat (1995),293,5,3,888906576,86
132,Courage Under Fire (1996),293,471,3,888904884,221
133,"Craft, The (1996)",92,928,3,886443582,104
134,Crash (1996),181,325,2,878961814,128
135,Crimson Tide (1995),109,31,4,880577844,154
136,"Crow, The (1994)",279,68,4,875307407,134
137,"Crucible, The (1996)",54,676,5,880935294,77
138,Crumb (1994),7,32,4,891350932,81
139,"Crying Game, The (1992)",109,631,3,880579371,119
140,Cyrano de Bergerac (1990),184,207,4,889908903,66
141,Dances with Wolves (1990),222,97,4,878181739,256
142,Dante's Peak (1997),155,323,2,879371261,240
143,Dave (1993),11,732,3,891904596,180
144,"Day the Earth Stood Still, The (1951)",296,429,5,884197330,97
145,Daylight (1996),279,827,1,888426577,57
146,Days of Thunder (1990),256,849,2,882164603,53
147,Dazed and Confused (1993),49,959,2,888068912,64
148,Dead Man Walking (1995),58,9,4,884304328,299
149,Dead Poets Society (1989),59,196,5,888205088,251
150,Deconstructing Harry (1997),257,345,4,887066556,65
151,"Deer Hunter, The (1978)",92,521,4,875813412,120
152,Delicatessen (1991),286,171,4,877531791,65
153,Demolition Man (1993),110,578,3,886988536,92
154,Desperado (1995),1,33,4,878542699,97
155,Desperate Measures (1998),113,329,3,875935312,72
156,Devil in a Blue Dress (1995),293,770,3,888906655,57
157,"Devil's Advocate, The (1997)",110,307,4,886987260,188
158,"Devil's Own, The (1997)",224,245,3,888082216,240
159,Diabolique (1996),54,106,3,880937882,71
160,Dial M for Murder (1954),114,505,3,881260203,68
161,Die Hard (1988),299,144,4,877881320,243
162,Die Hard 2 (1990),276,226,4,874792520,166
163,Die Hard: With a Vengeance (1995),8,550,3,879362356,151
164,Dirty Dancing (1987),1,155,2,878542201,98
165,Diva (1981),296,855,5,884197352,66
166,Dolores Claiborne (1994),42,44,3,881108548,79
167,Don Juan DeMarco (1995),270,778,5,876955711,76
168,Donnie Brasco (1997),150,293,4,878746946,147
169,Down Periscope (1996),287,926,4,875334340,101
170,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),298,474,4,884182806,194
171,Dragonheart (1996),7,472,2,891353357,158
172,Duck Soup (1933),218,430,3,877488316,93
173,Dumb & Dumber (1994),13,780,1,882142057,69
174,Dumbo (1941),279,501,3,875308843,123
175,E.T. the Extra-Terrestrial (1982),42,423,5,881107687,300
176,East of Eden (1955),7,492,5,891352010,59
177,Eat Drink Man Woman (1994),94,45,5,886008764,80
178,Ed Wood (1994),65,47,2,879216672,133
179,"Edge, The (1997)",15,331,3,879455166,113
180,Emma (1996),202,283,3,879727153,177
181,"Empire Strikes Back, The (1980)",0,172,5,881250949,368
182,Enchanted April (1991),244,707,4,880606243,70
183,"English Patient, The (1996)",191,286,4,891560842,481
184,Eraser (1996),275,597,3,876197678,206
185,Escape from L.A. (1996),92,831,2,886443708,91
186,Escape from New York (1981),95,636,1,879196566,91
187,Eve's Bayou (1997),111,887,3,891679692,64
188,Event Horizon (1997),145,260,4,875269871,127
189,Everyone Says I Love You (1996),149,319,2,883512658,168
190,Evil Dead II (1987),246,201,5,884921594,89
191,Evita (1996),63,289,2,875746985,259
192,Excess Baggage (1997),66,877,1,883601089,52
193,Executive Decision (1996),293,685,3,888905170,157
194,Extreme Measures (1996),181,619,3,878963086,64
195,Face/Off (1997),66,298,4,883601324,194
196,"Fan, The (1996)",113,595,5,875936424,64
197,Fantasia (1940),81,432,2,876535131,174
198,Fargo (1996),251,100,4,886271884,508
199,Father of the Bride (1950),48,609,4,879434819,60
200,Father of the Bride Part II (1995),244,756,2,880605157,128
201,Field of Dreams (1989),13,215,5,882140588,212
202,Fierce Creatures (1997),32,290,3,883717913,96
203,"Fifth Element, The (1997)",52,250,3,882922661,197
204,"Firm, The (1993)",92,77,3,875654637,151
205,First Knight (1995),94,720,1,891723593,86
206,"First Wives Club, The (1996)",207,476,2,884386343,160
207,"Fish Called Wanda, A (1988)",38,153,5,892430369,247
208,Flubber (1997),13,892,3,882774224,53
209,Fly Away Home (1996),284,304,4,885329322,180
210,Forbidden Planet (1956),125,434,4,879454100,67
211,Forget Paris (1995),222,1041,3,881060155,62
212,Forrest Gump (1994),303,69,5,879467542,321
213,Four Rooms (1995),181,3,2,878963441,90
214,Four Weddings and a Funeral (1994),276,70,4,874790826,251
215,"Fox and the Hound, The (1981)",268,946,3,875310442,61
216,French Kiss (1995),256,781,5,882165296,84
217,Fried Green Tomatoes (1991),83,660,4,880308256,153
218,"Frighteners, The (1996)",44,123,4,878346532,115
219,From Dusk Till Dawn (1996),5,17,4,875636198,92
220,"Fugitive, The (1993)",99,79,4,885680138,336
221,Full Metal Jacket (1987),249,188,4,879641067,170
222,"Full Monty, The (1997)",14,269,4,892242403,315
223,G.I. Jane (1997),113,326,5,875935609,175
224,"Game, The (1997)",177,333,4,880130397,251
225,Gandhi (1982),210,527,5,887736232,195
226,Gattaca (1997),276,270,4,879131395,136
227,George of the Jungle (1997),85,259,2,881705026,162
228,Get Shorty (1995),99,4,5,886519097,209
229,Ghost (1990),308,402,4,887740700,170
230,"Ghost and the Darkness, The (1996)",186,148,4,891719774,128
231,Giant (1956),234,614,3,892334609,51
232,Glengarry Glen Ross (1992),1,160,4,875072547,69
233,Glory (1989),94,651,5,891725332,171
234,"Godfather, The (1972)",269,127,4,891446165,413
235,"Godfather: Part II, The (1974)",184,187,4,889909024,209
236,GoldenEye (1995),5,2,3,875636053,131
237,Gone with the Wind (1939),0,133,1,881250949,172
238,Good Will Hunting (1997),13,272,4,884538403,198
239,"Good, The Bad and The Ugly, The (1966)",172,177,4,875537965,137
240,GoodFellas (1990),72,182,5,880036515,226
241,"Graduate, The (1967)",16,197,5,877726146,239
242,"Grand Day Out, A (1992)",1,189,3,888732928,66
243,Grease (1978),305,451,3,886324817,170
244,"Great Escape, The (1963)",189,520,5,893265380,124
245,"Grifters, The (1990)",130,642,4,875216933,89
246,Grosse Pointe Blank (1997),178,248,4,882823954,160
247,Groundhog Day (1993),161,202,5,891170769,280
248,Grumpier Old Men (1995),194,1028,2,879541148,148
249,Hamlet (1996),243,1039,4,879988184,90
250,Happy Gilmore (1996),223,763,3,891550067,149
251,Harold and Maude (1971),291,428,5,874871766,121
252,Heat (1995),213,273,5,878870987,223
253,Heathers (1989),178,433,4,882827834,171
254,Heavenly Creatures (1994),21,558,5,874951695,70
255,Heavy Metal (1981),109,101,1,880578186,73
256,Henry V (1989),295,190,4,879517062,124
257,Hercules (1997),130,993,5,874953665,66
258,High Noon (1952),292,661,5,881105561,88
259,Highlander (1986),70,431,3,884150257,153
260,His Girl Friday (1940),312,494,5,891698454,56
261,Home Alone (1990),246,94,2,884923505,137
262,Home for the Holidays (1995),297,716,3,875239422,58
263,Homeward Bound: The Incredible Journey (1993),250,140,3,878092059,61
264,Hoodlum (1997),104,299,3,888442436,73
265,Hoop Dreams (1994),72,48,4,880036718,117
266,Hot Shots! Part Deux (1993),291,80,4,875086354,68
267,How to Make an American Quilt (1995),307,949,4,877123315,71
268,"Hudsucker Proxy, The (1994)",308,81,5,887737293,110
269,"Hunchback of Notre Dame, The (1996)",250,596,5,878089921,127
270,"Hunt for Red October, The (1990)",115,265,2,881171488,227
271,I Know What You Did Last Summer (1997),143,682,3,888407741,100
272,I.Q. (1994),222,49,3,878183512,81
273,"Ice Storm, The (1997)",299,305,3,879737314,108
274,Immortal Beloved (1994),295,727,5,879517682,63
275,In & Out (1997),152,301,3,880147407,230
276,In the Company of Men (1997),126,262,4,887854726,66
277,In the Line of Fire (1993),64,684,4,889740199,169
278,In the Name of the Father (1993),298,317,4,884182806,102
279,Independence Day (ID4) (1996),56,121,5,892679480,429
280,Indiana Jones and the Last Crusade (1989),187,210,4,879465242,331
281,Interview with the Vampire (1994),49,559,2,888067405,137
282,"Island of Dr. Moreau, The (1996)",294,931,3,889242857,57
283,It Happened One Night (1934),301,604,4,882075994,81
284,It's a Wonderful Life (1946),250,496,4,878090499,231
285,Jack (1996),246,409,2,884923372,70
286,"Jackal, The (1997)",286,689,5,884583549,87
287,Jackie Brown (1997),166,346,1,886397596,126
288,Jackie Chan's First Strike (1996),7,455,4,891353086,145
289,James and the Giant Peach (1996),45,473,3,881014417,126
290,Jane Eyre (1996),121,740,3,891390544,63
291,Jaws (1975),160,234,5,876861185,280
292,Jaws 2 (1978),256,452,4,882164999,66
293,Jean de Florette (1986),194,165,4,879546723,64
294,Jerry Maguire (1996),225,237,5,879539643,384
295,Jumanji (1995),222,755,4,878183481,96
296,"Jungle Book, The (1994)",253,465,5,891628467,85
297,Jungle2Jungle (1997),35,243,2,875459046,132
298,Jurassic Park (1993),219,82,1,889452455,261
299,"Juror, The (1996)",82,717,1,884714492,82
300,Kalifornia (1993),49,581,3,888068143,59
301,Kids in the Hall: Brain Candy (1996),279,108,4,892174381,65
302,"Killing Fields, The (1984)",92,528,4,875657681,121
303,Kingpin (1996),267,410,4,878970785,162
304,Kiss the Girls (1997),178,332,3,882823437,143
305,Kolya (1996),196,242,3,881250949,117
306,Koyaanisqatsi (1983),85,1065,3,879455021,53
307,Kull the Conqueror (1997),230,680,4,880484286,69
308,L.A. Confidential (1997),186,302,3,891717742,297
309,Last Action Hero (1993),102,391,2,888802767,59
310,Last Man Standing (1996),267,840,4,878970926,53
311,"Last Supper, The (1995)",181,741,1,878962918,58
312,"Last of the Mohicans, The (1992)",249,241,5,879641194,128
313,"Lawnmower Man, The (1992)",268,145,1,875744501,65
314,Lawrence of Arabia (1962),197,511,5,891409839,173
315,Leaving Las Vegas (1995),178,276,3,882823978,298
316,Legends of the Fall (1994),244,51,2,880606923,81
317,Liar Liar (1997),32,294,3,883709863,485
318,"Life Less Ordinary, A (1997)",31,886,2,881547877,53
319,Like Water For Chocolate (Como agua para chocolate) (1992),180,462,5,877544218,148
320,"Lion King, The (1994)",236,71,3,890116671,220
321,Little Women (1994),144,699,4,888106106,102
322,Local Hero (1983),308,516,4,887736743,63
323,Lone Star (1996),249,124,5,879572646,187
324,"Long Kiss Goodnight, The (1996)",268,147,4,876514002,185
325,Looking for Richard (1996),299,847,4,877877649,55
326,Lost Highway (1997),47,324,3,879439078,125
327,"Lost World: Jurassic Park, The (1997)",303,252,3,879544791,158
328,"Love Bug, The (1969)",83,139,3,880308959,50
329,M*A*S*H (1970),215,211,4,891436202,206
330,"Madness of King George, The (1994)",232,52,5,888550130,91
331,"Magnificent Seven, The (1954)",122,510,4,879270327,121
332,Mallrats (1995),264,721,5,886123656,54
333,"Maltese Falcon, The (1941)",77,484,5,884733766,138
334,"Man Who Knew Too Little, The (1997)",104,342,3,888442437,52
335,"Man Who Would Be King, The (1975)",72,530,4,880037164,80
336,"Man Without a Face, The (1993)",119,392,4,886176814,68
337,"Manchurian Candidate, The (1962)",125,657,3,892836422,131
338,Manhattan (1979),6,517,4,883602212,91
339,Manon of the Spring (Manon des sources) (1986),293,166,3,888905520,58
340,Mars Attacks! (1996),125,235,2,892838559,217
341,Marvin's Room (1996),306,287,4,876504442,78
342,Mary Poppins (1964),57,419,3,883698454,178
343,Mary Shelley's Frankenstein (1994),246,561,1,884923445,59
344,"Mask, The (1994)",13,72,4,882141727,129
345,"MatchMaker, The (1997)",170,749,5,887646170,51
346,Matilda (1996),82,477,3,876311344,95
347,Maverick (1994),286,73,5,877532965,128
348,McHale's Navy (1997),137,687,4,881432756,69
349,Men in Black (1997),62,257,2,879372434,303
350,Menace II Society (1993),65,806,4,879216529,50
351,Michael (1996),72,866,4,880035887,119
352,Michael Collins (1996),94,744,4,891721462,92
353,Midnight in the Garden of Good and Evil (1997),34,312,4,888602742,80
354,Mighty Aphrodite (1995),207,13,3,875506839,184
355,Miller's Crossing (1990),267,518,5,878971773,89
356,Mimic (1997),250,264,3,878089182,101
357,Miracle on 34th Street (1994),271,378,4,885849447,101
358,"Mirror Has Two Faces, The (1996)",181,220,4,878962392,66
359,Mission: Impossible (1996),84,405,3,883452363,344
360,Money Talks (1997),130,876,4,874953291,92
361,Monty Python and the Holy Grail (1974),92,168,4,875653723,316
362,Monty Python's Life of Brian (1979),279,154,5,875296291,174
363,Mother (1996),184,321,5,889906967,169
364,Mr. Holland's Opus (1995),243,15,3,879987440,293
365,Mr. Smith Goes to Washington (1939),269,136,4,891449075,105
366,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",181,306,1,878962006,96
367,Mrs. Doubtfire (1993),196,393,4,881251863,192
368,Much Ado About Nothing (1993),85,83,4,886282959,176
369,Mulholland Falls (1996),102,823,3,888801465,82
370,Multiplicity (1996),117,1047,2,881009697,134
371,Muppet Treasure Island (1996),62,21,3,879373460,84
372,Murder at 1600 (1997),260,322,4,890618898,218
373,Murder in the First (1995),276,939,3,874790855,60
374,Muriel's Wedding (1994),64,381,4,879365491,100
375,My Best Friend's Wedding (1997),259,255,4,874724710,172
376,My Fair Lady (1964),128,485,3,879966895,125
377,My Favorite Year (1982),158,414,4,880135118,62
378,My Fellow Americans (1996),13,864,4,882141924,86
379,My Left Foot (1989),122,509,4,879270511,121
380,My Life as a Dog (Mitt liv som hund) (1985),239,529,5,889179808,93
381,Mystery Science Theater 3000: The Movie (1996),294,109,4,877819599,130
382,Naked Gun 33 1/3: The Final Insult (1994),87,384,4,879877127,69
383,Natural Born Killers (1994),222,53,5,878184113,128
384,Nell (1994),158,729,3,880133116,81
385,"Net, The (1995)",110,38,3,886988574,120
386,Night of the Living Dead (1968),313,616,5,891015049,64
387,"Nightmare Before Christmas, The (1993)",56,91,4,892683275,143
388,"Nightmare on Elm Street, A (1984)",201,219,4,884112673,111
389,Nikita (La Femme Nikita) (1990),13,198,3,881515193,127
390,Nine Months (1995),295,722,4,879518881,58
391,Nixon (1995),174,458,4,886433862,90
392,North by Northwest (1959),225,480,5,879540748,179
393,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",326,675,4,879875457,54
394,Notorious (1946),10,489,4,877892210,52
395,"Nutty Professor, The (1996)",303,411,4,879483802,163
396,Old Yeller (1957),246,416,3,884923047,64
397,"Omen, The (1976)",234,448,3,892335501,85
398,On Golden Pond (1981),60,162,4,883327734,106
399,Once Upon a Time in America (1984),308,649,4,887739292,50
400,One Fine Day (1996),244,815,4,880605185,112
401,One Flew Over the Cuckoo's Nest (1975),154,357,4,879138713,264
402,Othello (1995),90,713,4,891385466,72
403,Outbreak (1995),276,54,3,874791025,104
404,"Parent Trap, The (1961)",276,417,4,874792907,73
405,Patton (1970),194,205,3,879524291,136
406,"Peacemaker, The (1997)",240,879,3,885775745,136
407,"People vs. Larry Flynt, The (1996)",296,508,5,884196584,215
408,"Perfect World, A (1993)",291,686,5,874835165,50
409,"Phantom, The (1996)",141,826,2,884585437,80
410,Phenomenon (1996),65,125,4,879217509,244
411,Philadelphia (1993),194,735,4,879524718,137
412,"Philadelphia Story, The (1940)",125,478,4,879454628,104
413,"Piano, The (1993)",106,582,4,881451199,168
414,Picture Perfect (1997),129,873,1,883245452,81
415,Pink Floyd - The Wall (1982),305,214,2,886323068,114
416,Pinocchio (1940),303,404,4,879468375,101
417,Platoon (1986),276,157,5,874790773,127
418,Pocahontas (1995),130,542,3,875801778,51
419,"Postino, Il (1994)",43,14,2,883955745,183
420,"Postman, The (1997)",161,898,3,891170191,58
421,"Preacher's Wife, The (1996)",242,934,5,879741196,68
422,Pretty Woman (1990),92,739,2,876175582,164
423,Primal Fear (1996),207,591,3,876018608,178
424,"Princess Bride, The (1987)",213,173,5,878955442,324
425,Private Benjamin (1980),244,167,3,880607853,67
426,Private Parts (1997),109,1012,4,880564570,100
427,"Professional, The (1994)",308,55,3,887738760,149
428,Psycho (1960),235,185,4,889655435,239
429,Pulp Fiction (1994),301,56,4,882076587,394
430,Pump Up the Volume (1990),216,658,3,880245029,79
431,"Quiet Man, The (1952)",90,648,4,891384754,67
432,Quiz Show (1994),198,58,3,884208173,175
433,Raging Bull (1980),207,192,3,877822350,116
434,Raiders of the Lost Ark (1981),160,174,5,876860807,420
435,"Rainmaker, The (1997)",244,310,3,880601905,145
436,Raise the Red Lantern (1991),90,923,5,891383912,58
437,Raising Arizona (1987),250,238,4,878089963,256
438,Ran (1985),194,647,4,879521531,70
439,Ransom (1996),54,742,5,880934806,267
440,Real Genius (1985),70,746,3,884150257,119
441,Reality Bites (1994),125,1074,3,892838827,77
442,Rear Window (1954),278,603,5,891295330,209
443,Rebecca (1940),18,607,3,880131752,66
444,Rebel Without a Cause (1955),90,506,5,891383319,90
445,Red Corner (1997),262,754,3,879961283,57
446,Red Rock West (1992),194,466,4,879525876,52
447,"Ref, The (1994)",286,85,5,877533224,58
448,"Remains of the Day, The (1993)",6,86,3,883603013,150
449,Reservoir Dogs (1992),96,156,4,884402860,148
450,Restoration (1995),63,277,4,875747401,71
451,Return of the Jedi (1983),25,181,5,885853415,507
452,"Return of the Pink Panther, The (1974)",7,163,4,891353444,92
453,Richard III (1995),151,10,5,879524921,89
454,"Right Stuff, The (1983)",225,193,4,879539727,157
455,"River Wild, The (1994)",298,281,3,884183336,146
456,Rob Roy (1995),198,549,3,884208518,92
457,Robin Hood: Men in Tights (1993),174,395,1,886515154,56
458,Robin Hood: Prince of Thieves (1991),193,627,4,889126972,75
459,"Rock, The (1996)",259,117,4,874724988,378
460,Roman Holiday (1953),234,487,3,892079237,68
461,Romy and Michele's High School Reunion (1997),286,1014,5,879781125,98
462,"Room with a View, A (1986)",14,213,5,890881557,134
463,Rosencrantz and Guildenstern Are Dead (1990),244,652,5,880606533,90
464,Rosewood (1997),171,292,4,891034835,114
465,Rudy (1993),59,468,3,888205855,64
466,Rumble in the Bronx (1995),94,24,4,885873423,174
467,Sabrina (1954),167,486,4,892738452,64
468,Sabrina (1995),194,274,2,879539794,190
469,"Saint, The (1997)",251,748,2,886272175,316
470,"Santa Clause, The (1994)",268,63,1,875743792,82
471,Schindler's List (1993),200,318,5,884128458,298
472,Scream (1996),20,288,1,879667584,478
473,Scream 2 (1997),99,895,3,885678304,106
474,Searching for Bobby Fischer (1993),222,87,3,878182589,138
475,"Secret Garden, The (1993)",70,584,3,884150236,79
476,"Secret of Roan Inish, The (1994)",6,463,4,883601713,71
477,Secrets & Lies (1996),104,285,4,888465201,162
478,Sense and Sensibility (1995),145,275,2,885557505,268
479,Serial Mom (1994),13,396,3,882141727,54
480,Seven (Se7en) (1995),292,11,5,881104093,236
481,Seven Years in Tibet (1997),241,690,2,887249482,155
482,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",7,650,3,891350965,72
483,"Sex, Lies, and Videotape (1989)",293,708,3,888907527,101
484,Sgt. Bilko (1996),130,105,4,876251160,74
485,Shadowlands (1993),64,736,4,889739212,78
486,Shallow Grave (1994),62,1073,4,879374752,66
487,"Shawshank Redemption, The (1994)",16,64,5,877720297,283
488,She's So Lovely (1997),176,875,4,886047442,53
489,She's the One (1996),94,1048,4,891722678,73
490,Shine (1996),216,531,4,880233810,129
491,"Shining, The (1980)",264,200,5,886122352,206
492,Short Cuts (1993),6,469,5,883601155,67
493,"Silence of the Lambs, The (1991)",301,98,4,882075827,390
494,Singin' in the Rain (1952),296,705,5,884197193,137
495,Sirens (1994),145,737,2,875272833,59
496,Six Degrees of Separation (1993),272,1101,5,879454977,74
497,Sleeper (1973),194,152,3,879549996,82
498,Sleepers (1996),297,628,4,874954497,169
499,Sleepless in Seattle (1993),290,88,4,880731963,213
500,Sling Blade (1996),262,223,3,879791816,136
501,Smoke (1995),10,461,3,877888944,74
502,Sneakers (1992),249,239,3,879572284,150
503,Snow White and the Seven Dwarfs (1937),286,99,4,878141681,172
504,So I Married an Axe Murderer (1993),1,90,4,878542300,95
505,Some Kind of Wonderful (1987),180,1119,3,877128156,59
506,Some Like It Hot (1959),271,482,5,885848519,128
507,Somewhere in Time (1980),254,662,4,887347350,82
508,Sophie's Choice (1982),236,632,3,890116254,58
509,Soul Food (1997),40,880,3,889041643,59
510,"Sound of Music, The (1965)",290,143,5,880474293,222
511,Space Jam (1996),93,820,3,888705966,93
512,Spawn (1997),178,358,1,888512993,143
513,Speed (1994),178,568,4,882826555,230
514,"Spitfire Grill, The (1996)",131,126,4,883681514,97
515,Stand by Me (1986),264,655,4,886123530,227
516,Star Trek III: The Search for Spock (1984),127,229,5,884364867,171
517,Star Trek IV: The Voyage Home (1986),235,230,4,889655162,199
518,Star Trek V: The Final Frontier (1989),56,450,3,892679374,63
519,Star Trek VI: The Undiscovered Country (1991),301,227,3,882077222,161
520,Star Trek: First Contact (1996),200,222,5,876042340,365
521,Star Trek: Generations (1994),293,380,2,888907527,116
522,Star Trek: The Motion Picture (1979),56,449,5,892679308,117
523,Star Trek: The Wrath of Khan (1982),97,228,5,884238860,244
524,Star Wars (1977),0,50,5,881250949,584
525,Stargate (1994),268,62,3,875310824,127
526,Starship Troopers (1997),294,271,5,889241426,211
527,Stealing Beauty (1996),52,1009,5,882922328,64
528,"Sting, The (1973)",97,194,3,884238860,241
